Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
,www.emdat.be (D. Guha-Sapir),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2020-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Sat, 07 Nov 2020 14:08:32 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1950-0031-PHL,1950,0031,Natural,Geophysical,Volcanic activity,Ash fall,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,,,,,,1950,9,,1950,9,,84,,,,,,,,9.4319369393968
1951-0022-PHL,1951,0022,Natural,Geophysical,Volcanic activity,Ash fall,,Hibok-Hibok,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Mt Catarman, Mindanao",,,,,,,,,,,,,,1951,12,4,1951,12,4,500,,,,,,,,10.1755336275649
1951-0011-PHL,1951,0011,Natural,Meteorological,Storm,Tropical cyclone,,Iris,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Samar, South Luzon",,,,,,,,,Kph,,,,,1951,4,24,1951,4,24,156,,,,,,,,10.1755336275649
1951-0021-PHL,1951,0021,Natural,Meteorological,Storm,Tropical cyclone,,Wanda,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Visayas, Bicol",,,,,,,,,Kph,,,,,1951,11,15,1951,11,15,87,,,,,,,,10.1755336275649
1951-0024-PHL,1951,0024,Natural,Meteorological,Storm,Tropical cyclone,,Amy,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Central,,,,,,,,,Kph,,,,,1951,12,9,1951,12,9,569,,60000,,60000,,,,10.1755336275649
1952-0003-PHL,1952,0003,Natural,Meteorological,Storm,Tropical cyclone,,Emma,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Central,,,,,,,,,Kph,,,,,1952,6,28,1952,6,28,19,103,,,103,,,,10.4103536343549
1952-0008-PHL,1952,0008,Natural,Meteorological,Storm,Tropical cyclone,,"Trixy, Wilma",Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Central,,,,,,,,,Kph,,,,,1952,10,16,1952,10,16,995,349,,,349,,,50000,10.4103536343549
1954-0031-PHL,1954,0031,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Luzon, Sorsogon, Bacon, Legaspi",,,,,,,,7,Richter,13,123.9,10:45,,1954,7,2,1954,7,2,13,101,,,101,,,,10.5277636377498
1954-0016-PHL,1954,0016,Technological,Technological,Transport accident,Rail,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Negros Island,,,,,,,,,,,,,,1954,9,2,1954,9,2,55,,,,,,,,10.5277636377498
1955-0002-PHL,1955,0002,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Mindanao, Lanao, Ozamis city",,,,,,,,6,Richter,7.674,124.081,05:52,,1955,4,1,1955,4,1,400,2000,,,2000,,,5000,10.473000409773
1955-0034-PHL,1955,0034,Natural,Meteorological,Storm,,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1955,1,,1955,1,,51,,,,,,,,10.473000409773
1955-0048-PHL,1955,0048,Natural,Meteorological,Storm,,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1955,11,,1955,11,,93,,,,,,,,10.473000409773
1956-0052-PHL,1956,0052,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1956,12,,1956,12,,79,,,,,,,,10.6327191682906
1956-0036-PHL,1956,0036,Natural,Meteorological,Storm,,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1956,7,,1956,7,,50,,,,,,,,10.6327191682906
1957-0032-PHL,1957,0032,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1957,7,,1957,7,,89,,,,,,,,10.9880071867879
1959-0049-PHL,1959,0049,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1959,12,,1959,12,,29,,,,,,,,11.4019798896023
1960-0015-PHL,1960,0015,Natural,Geophysical,Earthquake,Tsunami,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Nationwide,,,,,,,,,Richter,,,,,1960,5,22,1960,5,22,32,,,,,,,,11.5682160783056
1960-0047-PHL,1960,0047,Natural,Hydrological,Landslide,Landslide,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,,,,,,1960,1,,1960,1,,40,,,,,,,,11.5682160783056
1960-0012-PHL,1960,0012,Natural,Meteorological,Storm,Tropical cyclone,,Karen,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,South Wet of Manilla,,,,,,,,,Kph,,,,,1960,4,22,1960,4,22,56,,,,,,,2000,11.5682160783056
1960-0019-PHL,1960,0019,Natural,Meteorological,Storm,Tropical cyclone,,Lucille,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Luzon,,,,,,,,,Kph,,,,,1960,5,24,1960,5,24,234,,,,,,,,11.5682160783056
1960-0020-PHL,1960,0020,Natural,Meteorological,Storm,Tropical cyclone,,Olive,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,South Luzon,,,,,,,,,Kph,,,,,1960,6,23,1960,6,23,100,,50000,,50000,,,,11.5682160783056
1960-0028-PHL,1960,0028,Natural,Meteorological,Storm,Tropical cyclone,,Kit,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Central, South Luzon",,,,,,,,,Kph,,,,,1960,10,3,1960,10,3,150,,375000,,375000,,,,11.5682160783056
1960-0029-PHL,1960,0029,Natural,Meteorological,Storm,Tropical cyclone,,Lola,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Luzon,,,,,,,,,Kph,,,,,1960,10,8,1960,10,8,58,,,,,,,30000,11.5682160783056
1960-0053-PHL,1960,0053,Natural,Meteorological,Storm,,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1960,8,,1960,8,,33,,,,,,,,11.5682160783056
1961-0018-PHL,1961,0018,Technological,Technological,Industrial accident,Fire,,Commercial block,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Binondo, Manila",,,,,,,,,m3,,,,,1961,5,19,1961,5,19,15,,,,,,,49505,11.692075064479
1962-0029-PHL,1962,0029,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1962,7,,1962,7,,41,,,,,,,,11.8322415324397
1962-0032-PHL,1962,0032,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1962,8,,1962,8,,156,,,,,,,,11.8322415324397
1963-0017-PHL,1963,0017,Natural,Meteorological,Storm,Tropical cyclone,,Carmen,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,North Luzon,,,,,,,,,Kph,,,,,1963,8,10,1963,8,10,1,,,2000,2000,,,,11.9789161597039
1964-0037-PHL,1964,0037,Natural,Meteorological,Storm,Tropical cyclone,,Winnie (Dading),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"South, Central Luzon",,,,Yes,,,,,Kph,,,,,1964,6,29,1964,6,29,56,163,924125,,924288,,,8000,12.1321174880359
1964-0065-PHL,1964,0065,Natural,Meteorological,Storm,Tropical cyclone,,Louise,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"North Mindanao, South Luzon",,,,Yes,,,,,Kph,,,,,1964,11,19,1964,11,19,580,1258,300000,,301258,,,35000,12.1321174880359
1965-0058-PHL,1965,0058,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Taal,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,Yes,,,,,,,,,,1965,9,28,1965,9,28,355,785,50000,8000,58785,,,10000,12.3244326683639
1965-0042-PHL,1965,0042,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Cotabato, Luzon",,,,,,,,,Kph,,,,,1965,7,12,1965,7,12,37,,,,,,,,12.3244326683639
1965-0026-PHL,1965,0026,Technological,Technological,Miscellaneous accident,Fire,,,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,Lucena city,,,,Yes,,,,,,,,,,1965,5,4,1965,5,4,,,7000,,7000,,,10000,12.3244326683639
1966-0091-PHL,1966,0091,Natural,Meteorological,Storm,Tropical cyclone,,Aning,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Visayas, South Luzon",,,,Yes,,,,,Kph,,,,,1966,12,28,1966,12,28,18,,196000,90000,286000,,,1000,12.6960281686485
1966-0027-PHL,1966,0027,Technological,Technological,Miscellaneous accident,Fire,,,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,Iloilo City,,,,Yes,,,,,,,,,,1966,2,7,1966,2,7,,,10430,,10430,,,12000,12.6960281686485
1967-0071-PHL,1967,0071,Natural,Meteorological,Storm,Tropical cyclone,,Emma (Welming),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Samar Island, Visayas, Bicol, Southern Tagalog, Central Luzon",,,,Yes,,,,,Kph,,,,,1967,11,3,1967,11,3,107,,137000,,137000,,,26500,13.048062107494
1968-0061-PHL,1968,0061,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Luzon Is., Manila",,Tsunami/Tidal wave,,Yes,,,,,Richter,16.316,122.067,04:19,,1968,8,2,1968,8,2,271,261,,,261,,,5000,13.6054460870388
1968-0041-PHL,1968,0041,Natural,Geophysical,Volcanic activity,Ash fall,,Mount Mayon,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,"Albay province, Luzon",,,,Yes,,,,,,,,,,1968,4,20,1968,4,20,3,,45000,6000,51000,,,5000,13.6054460870388
1968-0065-PHL,1968,0065,Natural,Meteorological,Storm,Tropical cyclone,,Shirley,OFDA,Philippines (the),PHL,South-Eastern Asia,Asia,Luzon,,,,,,,,,Kph,,,,,1968,8,17,1968,8,17,,,,,,,,,13.6054460870388
1968-0083-PHL,1968,0083,Natural,Meteorological,Storm,Tropical cyclone,,"Mamie, Nina, Ora",Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"South Visayas, Samar, Luzon",,,,Yes,,,,,Kph,,,,,1968,11,22,1968,11,22,50,,187330,39313,226643,,,9600,13.6054460870388
1968-0024-PHL,1968,0024,Natural,Hydrological,Flood,,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Mindanao,,,,,,,,,Km2,,,,,1968,1,16,1968,1,16,29,,,,,,,,13.6054460870388
1969-0115-PHL,1969,0115,Natural,Geophysical,Volcanic activity,Ash fall,,Mount Kanlaon,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,,,,,,1969,10,5,1969,10,5,,,1700,,1700,,,,14.3486278167258
1969-0080-PHL,1969,0080,Natural,Meteorological,Storm,Tropical cyclone,,Viola,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,North,,,,,,,,,Kph,,,,,1969,7,21,1969,7,21,11,,,,,,,,14.3486278167258
1969-0116-PHL,1969,0116,Technological,Technological,Miscellaneous accident,Fire,,,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,"Binondo, Manila",,,,,,,,,,,,,,1969,1,1,1969,1,1,,,1192,,1192,,,636,14.3486278167258
1969-0117-PHL,1969,0117,Technological,Technological,Miscellaneous accident,Fire,,,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,"Catbalogan, Western Samar",,,,,,,,,,,,,,1969,2,27,1969,2,27,,,212,,212,,,382,14.3486278167258
1969-0118-PHL,1969,0118,Technological,Technological,Miscellaneous accident,Fire,,,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,"Cebu city, Lapu-Lapu city",,,,,,,,,,,,,,1969,3,8,1969,3,8,,,500,,500,,,1018,14.3486278167258
1969-0119-PHL,1969,0119,Technological,Technological,Miscellaneous accident,Fire,,,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,Cotabato city,,,,,,,,,,,,,,1969,4,12,1969,4,12,,,200,,200,,,763,14.3486278167258
1969-0120-PHL,1969,0120,Technological,Technological,Miscellaneous accident,Fire,,,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,"Sangay, Negros Occidental",,,,,,,,,,,,,,1969,3,23,1969,3,23,,,152,,152,,,509,14.3486278167258
1970-0004-PHL,1970,0004,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Luzon,,,,,,,,,Richter,15.791,121.630,,,1970,4,7,1970,4,7,14,200,,,200,,,,15.1863354613098
1970-0043-PHL,1970,0043,Natural,Meteorological,Storm,Tropical cyclone,,Fran & Georgia,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"(1) Bulacan, Pampg (Manila) - (2) Aurora (Quezon province)",,,,Yes,,,,,Kph,,,,,1970,8,31,1970,8,31,137,,78000,67200,145200,,,2353,15.1863354613098
1970-0056-PHL,1970,0056,Natural,Meteorological,Storm,Tropical cyclone,,"Joan, Kate",Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"(1) Bicol area, (2) Mindanao",,,,Yes,,,,,Kph,,,,,1970,10,13,1970,10,13,1551,985,1214000,,1214985,,,85500,15.1863354613098
1970-0064-PHL,1970,0064,Natural,Meteorological,Storm,Tropical cyclone,,Patsy,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Manila (Quezon province),,,,Yes,,,,,Kph,,,,,1970,11,19,1970,11,19,786,2075,430000,,432075,,,97656,15.1863354613098
1970-0076-PHL,1970,0076,Natural,Meteorological,Storm,Tropical cyclone,,Oyang,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1970,9,4,1970,9,4,42,,,,,,,,15.1863354613098
1970-0077-PHL,1970,0077,Natural,Meteorological,Storm,Tropical cyclone,,Katy (Pitang),Affect,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1970,9,8,1970,9,8,,,1326,,1326,,,598,15.1863354613098
1970-0078-PHL,1970,0078,Natural,Meteorological,Storm,Tropical cyclone,,Sening,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1970,9,12,1970,9,12,575,1593,,,1593,,,12110,15.1863354613098
1970-0079-PHL,1970,0079,Natural,Meteorological,Storm,Tropical cyclone,,Titang,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1970,9,16,1970,9,16,631,76,,,76,,,47397,15.1863354613098
1970-0080-PHL,1970,0080,Natural,Meteorological,Storm,Tropical cyclone,,Yoling,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1970,11,17,1970,11,17,80,248,17044,,17292,,,12785,15.1863354613098
1971-0026-PHL,1971,0026,Natural,Meteorological,Storm,Tropical cyclone,,Wanda,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Visayas, Palawan",,,,,,,,,Kph,,,,,1971,4,22,1971,4,22,95,,,,,,,700,15.8382546266338
1971-0036-PHL,1971,0036,Natural,Meteorological,Storm,Tropical cyclone,,Dinah (Herming),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Central,,,,,,,,,Kph,,,,,1971,5,24,1971,5,24,57,3,,32500,32503,,,590,15.8382546266338
1971-0054-PHL,1971,0054,Natural,Meteorological,Storm,Tropical cyclone,,Elaine,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Central,,,,,,,,,Kph,,,,,1971,10,2,1971,10,2,37,,,12000,12000,,,,15.8382546266338
1971-0055-PHL,1971,0055,Natural,Meteorological,Storm,Tropical cyclone,,Gloria,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,North Luzon,,,,,,,,,Kph,,,,,1971,10,9,1971,10,9,57,8,,2000,2008,,,,15.8382546266338
1972-0015-PHL,1972,0015,Natural,Meteorological,Storm,Tropical cyclone,,Kit (Asiang),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Visayan Islands,,,,,,,,,Kph,,,,,1972,1,6,1972,1,6,204,28,,,28,,,23000,16.3565247541826
1972-0040-PHL,1972,0040,Natural,Meteorological,Storm,Tropical cyclone,,Ora,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,South Luzon,,,,,,,,,Kph,,,,,1972,6,23,1972,6,23,131,,385000,,385000,,,15000,16.3565247541826
1972-0064-PHL,1972,0064,Natural,Meteorological,Storm,Tropical cyclone,,Therese (Undang),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"South, Misamis province",,,,Yes,,,,,Kph,,,,,1972,12,3,1972,12,3,100,650,80000,27000,107650,,,10000,16.3565247541826
1972-0042-PHL,1972,0042,Natural,Hydrological,Flood,,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Central, NorthLuzon",,,,Yes,,,,,Km2,,,,,1972,7,,1972,7,,653,,2400000,370647,2770647,,,220000,16.3565247541826
1973-0017-PHL,1973,0017,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Luzon, Tablas Is., Quezon city, Calaug, Lopez, Guiayangan",,,,,,,,7,Richter,13.372,122.787,16:30,,1973,3,17,1973,3,17,14,64,,,64,,,450,17.3669860176555
1973-0042-PHL,1973,0042,Natural,Meteorological,Storm,Tropical cyclone,,Nora (Luming),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Northern Luzon,,,,,,,,,Kph,,,,,1973,10,4,1973,10,4,26,,,,,,,2000,17.3669860176555
1973-0044-PHL,1973,0044,Natural,Meteorological,Storm,Tropical cyclone,,Ruth,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Central Luzon,,,,,,,,,Kph,,,,,1973,10,14,1973,10,14,50,,,45000,45000,,,5000,17.3669860176555
1973-0049-PHL,1973,0049,Natural,Meteorological,Storm,Tropical cyclone,,Vera,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"(1) Central, (2) Capiz province",,,,Yes,,,,,Kph,,,,,1973,11,20,1973,11,20,270,24,3400000,,3400024,,,,17.3669860176555
1973-0083-PHL,1973,0083,Natural,Hydrological,Flood,,,,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,Cotabato,,,,,,,,,Km2,,,,,1973,9,7,1973,9,7,3,,5000,,5000,,,493,17.3669860176555
1974-0029-PHL,1974,0029,Natural,Meteorological,Storm,Tropical cyclone,,Dinah (Bising),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Luzon,,,,,,,,,Kph,,,,,1974,6,8,1974,6,8,106,,1367,,1367,,,1000,19.2868744704009
1974-0038-PHL,1974,0038,Natural,Meteorological,Storm,Tropical cyclone,,Ivy (Iliang),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Luzon,,,,,,,,,Kph,,,,,1974,7,17,1974,7,17,21,16,2400,140,2556,,,2000,19.2868744704009
1974-0051-PHL,1974,0051,Natural,Meteorological,Storm,Tropical cyclone,,Bess (Susang),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,North Luzon,,,,,,,,,Kph,,,,,1974,10,10,1974,10,10,26,40,7142,,7182,,,9200,19.2868744704009
1974-0052-PHL,1974,0052,Natural,Meteorological,Storm,Tropical cyclone,,Carmen (Tering),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Luzon,,,,,,,,,Kph,,,,,1974,10,15,1974,10,15,13,9,7776,,7785,,,11600,19.2868744704009
1974-0054-PHL,1974,0054,Natural,Meteorological,Storm,Tropical cyclone,,Elaine (Wening),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Luzon,,,,,,,,,Kph,,,,,1974,10,25,1974,10,25,23,50,55575,,55625,,,21000,19.2868744704009
1974-0056-PHL,1974,0056,Natural,Meteorological,Storm,Tropical cyclone,,Gloria (Aning),Affect,Philippines (the),PHL,South-Eastern Asia,Asia,North Luzon,,,,,,,,,Kph,,,,,1974,11,4,1974,11,4,3,2,22835,1301,24138,,,3200,19.2868744704009
1974-0058-PHL,1974,0058,Natural,Meteorological,Storm,Tropical cyclone,,Irma (Bidang),Affect,Philippines (the),PHL,South-Eastern Asia,Asia,South Luzon,,,,,,,,,Kph,,,,,1974,11,23,1974,11,23,11,,,5000,5000,,,7300,19.2868744704009
1974-0081-PHL,1974,0081,Technological,Technological,Miscellaneous accident,Fire,,,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,Agusan Del Norte,,,,,,,,,,,,,,1974,3,17,1974,3,17,,,500,,500,,,283,19.2868744704009
1974-0039-PHL,1974,0039,Natural,Hydrological,Flood,,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Central Luzon,,,,Yes,,,,,Km2,,,,,1974,8,,1974,8,,94,,1200000,,1200000,,,17800,19.2868744704009
1974-0079-PHL,1974,0079,Natural,Hydrological,Flood,,,,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,Agusan Del Norte,,,,,,,,,Km2,,,,,1974,2,11,1974,2,11,,,1823,,1823,,,,19.2868744704009
1975-0077-PHL,1975,0077,Natural,Meteorological,Storm,Tropical cyclone,,Lola (Auring),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Mindanao,,,,,,,,,Kph,,,,,1975,1,22,1975,1,22,39,8,4518,698,5224,,,2161,21.0503075151625
1975-0082-PHL,1975,0082,Technological,Technological,Miscellaneous accident,Fire,,,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,"Sta Cruz, Manila",,,,,,,,,,,,,,1975,3,11,1975,3,11,,,500,,500,,,333,21.0503075151625
1975-0083-PHL,1975,0083,Technological,Technological,Miscellaneous accident,Fire,,,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,Dumaguete City,,,,,,,,,,,,,,1975,6,27,1975,6,27,,,1000,,1000,,,400,21.0503075151625
1975-0084-PHL,1975,0084,Technological,Technological,Miscellaneous accident,Fire,,,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,General Santos City,,,,,,,,,,,,,,1975,6,28,1975,6,28,1,2,500,,502,,,800,21.0503075151625
1975-0080-PHL,1975,0080,Natural,Hydrological,Flood,,,,Govern,Philippines (the),PHL,South-Eastern Asia,Asia,Davao Del Norte,,,,,,,,,Km2,,,,,1975,3,3,1975,3,3,,,99,,99,,,,21.0503075151625
1976-0054-PHL,1976,0054,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Gulf of Moro, Sulu (Mindanao)",,Tsunami/Tidal wave,,Yes,,,,8,Richter,6.262,124.023,00:11,,1976,8,17,1976,8,17,6000,6348,175000,,181348,,,134000,22.259601389149
1976-0061-PHL,1976,0061,Natural,Geophysical,Volcanic activity,Ash fall,,Mount Taal,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,40 miles South Manilla,,,,,,,,,,,,,,1976,9,3,1976,9,3,,,11510,,11510,,,679,22.259601389149
1976-0091-PHL,1976,0091,Natural,Hydrological,Flood,Flash flood,,,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,Misamis Oriental,,,,,,,,,Km2,,,,,1976,1,25,1976,1,25,8,,1565,,1565,,,,22.259601389149
1976-0095-PHL,1976,0095,Natural,Hydrological,Flood,Flash flood,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Capz, Aklan",,,,,,,,,Km2,,,,,1976,11,30,1976,11,30,10,,14313,,14313,,,1553,22.259601389149
1976-0038-PHL,1976,0038,Natural,Meteorological,Storm,Tropical cyclone,,Olga (Didang),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Luzon, Manila",,,,Yes,,,,,Kph,,,,,1976,5,17,1976,5,17,274,,2700000,,2700000,,,85000,22.259601389149
1976-0086-PHL,1976,0086,Natural,Meteorological,Storm,Tropical cyclone,,Ruby (Huaning),Affect,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1976,6,22,1976,6,22,3,,2702,110,2812,,,84100,22.259601389149
1976-0089-PHL,1976,0089,Natural,Meteorological,Storm,Tropical cyclone,,Nora (Aring),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1976,12,2,1976,12,2,110,17,1741,,1758,,,9326,22.259601389149
1976-0092-PHL,1976,0092,Technological,Technological,Transport accident,Road,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Baguio City,,,,,,,,,,,,,,1976,4,3,1976,4,3,30,27,,,27,,,,22.259601389149
1976-0115-PHL,1976,0115,Technological,Technological,Miscellaneous accident,Collapse,,Dam,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Santo Thomas,,,,,,,,,,,,,,1976,6,,1976,6,,80,,,,,,,,22.259601389149
1976-0102-PHL,1976,0102,Technological,Technological,Miscellaneous accident,Fire,,,Govern,Philippines (the),PHL,South-Eastern Asia,Asia,Ceby city,,,,,,,,,,,,,,1976,10,30,1976,10,30,,4,160,,164,,,673,22.259601389149
1976-0103-PHL,1976,0103,Technological,Technological,Miscellaneous accident,Fire,,,Govern,Philippines (the),PHL,South-Eastern Asia,Asia,Surigao City,,,,,,,,,,,,,,1976,11,4,1976,11,4,,,150,,150,,,5385,22.259601389149
1976-0104-PHL,1976,0104,Technological,Technological,Miscellaneous accident,Fire,,,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,Baguio City,,,,,,,,,,,,,,1976,11,19,1976,11,19,2,3,750,,753,,,2693,22.259601389149
1977-0050-PHL,1977,0050,Natural,Geophysical,Earthquake,Ground movement,,,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,Cagayan (N.E. Luzon),,,,,,,,7,Richter,16.773,122.327,05:43,,1977,3,19,1977,3,19,1,30,60000,,60030,,,100,23.7068509965271
1977-0119-PHL,1977,0119,Natural,Meteorological,Storm,Tropical cyclone,,Dinah (Openg),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Northern,,,,,,,,,Kph,,,,,1977,9,15,1977,9,15,60,,5000,,5000,,,800,23.7068509965271
